id,Dvfull,treatment,W1,W2,W2n,W3,W3a,W3n,W4,W4a,Census_comp,W5,W5a,W5b,W5c,Party,PartyLean,PartyLikert,N2,N2n,N3,N3n,N4_1,N4_2,N4_3,N4_4,N4_5,N4_6,N4_7,N4_8,N4_9,N4_10,N4_11,N4_12,N4_13,N4_1n,N4_2n,N4_3n,N4_4n,N4_5n,N4_6n,N4_7n,N4_8n,N4_9n,N4_10n,N4_11n,N4_12n,N4_13n,Agreatdealn,Afairamountn,Nottoomuchn,Noconfidenceatalln,ConfidenceIndex,N5,N5n,N6,N6n,N7_1,N7_2,N7_3,N7_4,N7_5,N7_6,N7_7,N7_8,N7_1n,N7_2n,N7_3n,N7_4n,N7_5n,N7_6n,N7_7n,N7_8n,GovtServicesIndex,N8,N8n,N9_1,N9_2,N9_3,N9_4,N9_1n,N9_2n,N9_3n,N9_4n,MediaIndex,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N10n,N11n,N12n,N13n,N14n,N15n,N16n,N17n,N18n,N19n,N1,N1n,N1a,N1an,Trump,D2,IdeoLikert,D4,D4n,D5,D5n,D7,D7n,D8,D8n,D9,D9n,D13,D13n,D14,D14n,D15,D15n,D11,D11n,D11a,D11an,D12_1,D12_2,Region,Division,Confirmed_Cases,Covid_Deaths,Active_Covid,Incident_Rate,Case_Fatality_Ratio,opp,Q_TotalDuration,RISN,rid,Q_CHL,QPMID,cintid,ProjectToken,isNew,wave,gc,term,Treatment,Medium,Race,LS,E0_num,E1_num,E2_num,E3_num,E4_num,E5_num,E6_num,E7_num,E0_num3,E1_num3,E2_num3,E3_num3,E4_num3,E5_num3,E6_num3,E7_num3,partisan,DVfull,control,NurseLindsaydemo,DrFaucidemo,Bidenendorse,Trumpendorse,Fauciendorse,FDA,Economy,gender,health,flu,edu,incm,marital,agevar,race,trust_sci,treatment,allergy,religion,Black,Hispanic,Asian,Mixed,Other,White,PacificIslander,NativeAmerican,Other2,concernillness,knowCovid19pat,ConfidenceIndexscale,GovtServicesIndexscale,MediaIndexscale,Incident_RatePct,lnCovid_Deaths,trust_gov,fem,county,incident_ratepct,state,ManipCorr,Durationinseconds
487,0,T5 Fauci,Yes,18-24,0,Male,,0,White,,White,Republican Party,,Strong,,Republican,Republican,6,Somewhat interested,2,Some of the time,1,Not too much,No confidence at all,A great deal,A fair amount,A fair amount,A fair amount,A great deal,Not too much,A great deal,A fair amount,A fair amount,A fair amount,A fair amount,1,0,3,2,2,2,3,1,3,2,2,2,2,3,7,2,1,25,There’s not much ordinary citizens can do to influence the government,0,Half of the time,2,Yes,No,No,Yes,No,No,Yes,No,1,0,0,1,0,0,1,0,3,The scientific method generally produces accurate conclusions,1,Once a week,Several days a week,Every few weeks/once a month,Once a week,1,3,2,1,7,Somewhat concerned,Not too concerned,Yes,Favor,Left the same as it is now,Encourage,"A factory owned by a Chinese company that employed 2,000 workers",Live in a non-democracy where government action often aligns with your views,Strongly agree,Most of the time,2,1,1,1,2,2,0,1,4,2,Yes,1,Donald J. Trump,3,1,Very conservative,6,Single,0,No,0,High school graduate,1,"$75,000 to under $100,000",6,Never,0,No,0,No,0,Excellent,4,Yes,Yes,Christian,Christian,MINNESOTA,Scott MN,Midwest,West North Central,12681,103,12578,8510,1,Qual73538399-0108Vaccination,631,9979290,602336be-5270-5ff5-c11b-eda9496fe8ea,anonymous,73531461,,,,,1,,T5 Fauci,Text Endorse,White,1227,,,,,,0,,,,,,,,0,,,1,0,0,0,0,0,0,1,0,0,0,4,0,1,6,0,0,0,1,5,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,5,1,0,Scott MN,9,MINNESOTA,1,631
488,6,T4 Trump,Yes,25-34,1,Male,,0,African American,,Black,Democratic Party,Strong,,,Democrat,Democrat,0,Somewhat interested,2,Some of the time,1,Not too much,A fair amount,A fair amount,A fair amount,Not too much,A fair amount,Not too much,A fair amount,No confidence at all,A fair amount,A great deal,A great deal,A great deal,1,2,2,2,1,2,1,2,0,2,3,3,3,3,6,3,1,24,There’s not much ordinary citizens can do to influence the government,0,Half of the time,2,No,Yes,No,Yes,Yes,No,No,No,0,1,0,1,1,0,0,0,3,The scientific method can be used to produce any conclusion the researcher wants,0,Every day,Every day,Every few weeks/once a month,Several days a week,4,4,2,3,13,Not too concerned,Not at all concerned,No,Favor,Left the same as it is now,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly disagree,Most of the time,1,0,0,1,2,1,0,0,0,2,No,0,,,,Somewhat liberal,2,Married,2,Yes,1,4-year college degree,4,"$40,000 to under $50,000",4,Most of the time,3,No,0,No,0,Very good,3,Yes,Yes,Christian ,Christian ,GEORGIA,Henry GA,South,South Atlantic,20086,228,19858,8563,1,Qual73538399-0108Vaccination,364,9979290,60233818-0754-d92c-d0da-288840b5163e,anonymous,73531461,,,,,1,,T4 Trump,Text Endorse,Black,1227,,,,,2,,,,,,,,6,,,,0,6,0,0,0,0,1,0,0,0,0,3,0,4,4,2,1,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,0,Henry GA,9,GEORGIA,1,364
489,6,T7 Economy,Yes,25-34,1,Male,,0,Hispanic or Latino,,Hispanic,Independent/no preference,,,Neither,Other,Neither,3,Not at all interested,0,About half the time,2,No confidence at all,No confidence at all,A fair amount,No confidence at all,Not too much,No confidence at all,No confidence at all,No confidence at all,No confidence at all,No confidence at all,No confidence at all,No confidence at all,No confidence at all,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,11,3,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,No,No,No,No,No,No,Yes,Yes,0,0,0,0,0,0,1,1,2,The scientific method can be used to produce any conclusion the researcher wants,0,Never,Several days a week,Never,Never,0,3,0,0,3,Not too concerned,Not at all concerned,Yes,Oppose,Decreased a little,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a non-democracy where government action often aligns with your views,Neither agree nor disagree,Some of the time,1,0,1,0,1,1,0,1,2,1,No,0,,,,Somewhat liberal,2,Not married but in a relationship,1,Yes,1,2-year college degree,3,"$50,000 to under $75,000",5,Occassionally,1,No,0,No,0,Very good,3,No,No,,,CALIFORNIA,San Diego CA,West,Pacific,248051,2853,245198,7430,1,Qual73538399-0108Vaccination,369,9979290,602337c8-c48c-45e8-b064-17c6c0597d96,anonymous,73531461,,,,,1,,T7 Economy,Subst Message,Hispanic,1227,,,,,,,,2,,,,,,,,6,2,6,0,0,0,0,0,0,0,1,0,3,0,3,5,1,1,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,0,San Diego CA,7,CALIFORNIA,1,369
490,6,T5 Fauci,Yes,35-50,2,Female,,1,White,,White,Democratic Party,Not very strong,,,Democrat,Democrat,1,Somewhat interested,2,About half the time,2,Not too much,Not too much,No confidence at all,A fair amount,A fair amount,A great deal,Not too much,Not too much,A fair amount,A great deal,A fair amount,Not too much,No confidence at all,1,1,0,2,2,3,1,1,2,3,2,1,0,2,4,5,2,19,There’s not much ordinary citizens can do to influence the government,0,All of the time,4,Yes,No,No,No,No,Yes,No,No,1,0,0,0,0,1,0,0,2,The scientific method generally produces accurate conclusions,1,Every few weeks/once a month,Every few weeks/once a month,Several days a week,Every day,2,2,3,4,11,Not too concerned,Not too concerned,Yes,Favor,Increased a lot,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a non-democracy where government action often aligns with your views,Agree,Some of the time,1,1,1,1,4,1,0,1,3,1,Yes,1,Joseph R. Biden,0,0,Mostly liberal,1,Not married but in a relationship,1,No,0,2-year college degree,3,"$40,000 to under $50,000",4,Occassionally,1,Yes,1,No,0,Excellent,4,Yes,Yes,Cristan,Cristan,CALIFORNIA,Lake CA,West,Pacific,2949,36,2913,4580,1,Qual73538399-0108Vaccination,267,9979290,60233888-1fb8-3bb6-5b2a-c96ef1fc50bb,anonymous,73531461,,,,,1,,T5 Fauci,Text Endorse,White,1227,,,,,,2,,,,,,,,6,,,0,6,0,0,0,0,0,1,0,0,1,4,1,3,4,1,2,0,1,5,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,4,2,1,Lake CA,5,CALIFORNIA,1,267
491,0,T7 Economy,Yes,18-24,0,Male,,0,White,,White,Independent/no preference,,,Neither,Other,Neither,3,Somewhat interested,2,Some of the time,1,Not too much,No confidence at all,A fair amount,No confidence at all,Not too much,No confidence at all,Not too much,No confidence at all,No confidence at all,Not too much,No confidence at all,No confidence at all,Not too much,1,0,2,0,1,0,1,0,0,1,0,0,1,0,1,5,7,7,There’s not much ordinary citizens can do to influence the government,0,Half of the time,2,No,No,No,No,No,Yes,No,No,0,0,0,0,0,1,0,0,1,The scientific method generally produces accurate conclusions,1,Never,Several days a week,Never,Never,0,3,0,0,3,Not at all concerned,Not at all concerned,No,Favor,Decreased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Some of the time,0,0,0,1,1,0,1,0,3,1,Yes,1,Other,1,0,Somewhat conservative,4,Single,0,No,0,Some college,2,"$20,000 to under $30,000",2,Never,0,No,0,No,0,Very good,3,Yes,Yes,Christian,Christian,OHIO,Franklin OH,Midwest,East North Central,107627,1205,106913,8174,1,Qual73538399-0108Vaccination,266,9979290,60233835-3122-5943-4f3f-489aaddfcf4d,anonymous,73531461,,,,,1,,T7 Economy,Subst Message,White,1227,,,,,,,,0,,,,,,,,0,2,0,0,0,0,0,0,0,0,1,0,3,0,2,2,0,0,0,1,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,Franklin OH,8,OHIO,1,266
492,6,T3 Biden,Yes,18-24,0,Male,,0,White,,White,Democratic Party,Not very strong,,,Democrat,Democrat,1,Very interested,3,Some of the time,1,No confidence at all,No confidence at all,A fair amount,A great deal,Not too much,A fair amount,Not too much,A fair amount,Not too much,A fair amount,A fair amount,A fair amount,Not too much,0,0,2,3,1,2,1,2,1,2,2,2,1,1,6,4,2,19,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,Yes,Yes,No,No,No,No,No,No,1,1,0,0,0,0,0,0,2,The scientific method generally produces accurate conclusions,1,Every few weeks/once a month,Every day,Every few weeks/once a month,Never,2,4,2,0,8,Very concerned,Not too concerned,Yes,Oppose,Increased a little,Stay out of this matter,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Neither agree nor disagree,Some of the time,3,1,1,0,3,1,1,0,2,1,Yes,1,Joseph R. Biden,0,0,Somewhat liberal,2,Single,0,Yes,1,4-year college degree,4,"$20,000 to under $30,000",2,Never,0,No,0,No,0,Excellent,4,Yes,Yes,Nondenominational,Nondenominational,LOUISIANA,Caddo LA,South,West South Central,24100,641,23459,10033,3,Qual73538399-0108Vaccination,284,9979290,6023386d-39a0-b0d7-c0b2-88891f6175db,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,White,1227,,,,2,,,,,,,,6,,,,,0,6,0,0,0,1,0,0,0,0,0,4,0,4,2,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,6,1,0,Caddo LA,10,LOUISIANA,1,284
493,6,T3 Biden,Yes,18-24,0,Male,,0,White,,White,Independent/no preference,,,Neither,Other,Neither,3,Somewhat interested,2,Most of the time,3,A fair amount,A fair amount,A great deal,A fair amount,Not too much,A great deal,A fair amount,A great deal,A great deal,A fair amount,A fair amount,A fair amount,A fair amount,2,2,3,2,1,3,2,3,3,2,2,2,2,4,8,1,0,29,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Most of the time,3,No,No,No,No,Yes,No,No,No,0,0,0,0,1,0,0,0,1,The scientific method generally produces accurate conclusions,1,Never,Every few weeks/once a month,Never,Never,0,2,0,0,2,Somewhat concerned,Somewhat concerned,No,Oppose,Decreased a lot,Stay out of this matter,"A factory owned by a Chinese company that employed 2,000 workers",Live in a democracy where government action sometimes aligns with your views,Neither agree nor disagree,Some of the time,2,2,0,0,0,1,0,0,2,1,No,0,,,,Moderate,3,Single,0,No,0,Some college,2,"$100,000 to under $150,000",7,Never,0,Yes,1,No,0,Very good,3,Yes,Yes,N/A,N/A,OHIO,Washington OH,Midwest,East North Central,4301,89,4248,7179,1,Qual73538399-0108Vaccination,373,9979290,60233837-4b51-f8fc-ad2b-025a57107029,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,White,1227,,,,2,,,,,,,,6,,,,,2,6,0,0,0,1,0,0,0,0,0,3,1,2,7,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,4,3,0,Washington OH,7,OHIO,1,373
494,6,Control,Yes,35-50,2,Other,Male,0,White,,White,Democratic Party,Strong,,,Democrat,Democrat,0,Not too interested,1,Some of the time,1,Not too much,Not too much,Not too much,A fair amount,A great deal,Not too much,No confidence at all,Not too much,Not too much,A fair amount,A fair amount,A fair amount,No confidence at all,1,1,1,2,3,1,0,1,1,2,2,2,0,1,4,6,2,17,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,No,No,No,No,No,No,No,Yes,0,0,0,0,0,0,0,1,1,The scientific method can be used to produce any conclusion the researcher wants,0,Never,Once a week,Every few weeks/once a month,Every few weeks/once a month,0,1,2,2,5,Not too concerned,Not at all concerned,Yes,Oppose,Decreased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a non-democracy where government action often aligns with your views,Strongly disagree,Some of the time,1,0,1,0,1,0,1,1,0,1,Yes,1,Joseph R. Biden,0,0,Somewhat conservative,4,Single,0,No,0,Some college,2,"$50,000 to under $75,000",5,Some of the time,2,No,0,No,0,Very good,3,No,No,,,NEW JERSEY,Passaic NJ,Northeast,Middle Atlantic,53188,1624,51564,10599,3,Qual73538399-0108Vaccination,323,9979290,6023385a-844e-808b-b318-afd4d4cd210b,anonymous,73531461,,,,,1,,Control,Control,White,1227,2,,,,,,,,6,,,,,,,,0,6,1,0,0,0,0,0,0,0,2,3,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,1,0,Passaic NJ,11,NEW JERSEY,,323
495,6,T3 Biden,Yes,25-34,1,Female,,1,African American,,Black,Independent/no preference,,,Neither,Other,Neither,3,Somewhat interested,2,About half the time,2,Not too much,A fair amount,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,A fair amount,A fair amount,A great deal,A fair amount,Not too much,A fair amount,1,2,2,2,2,3,2,2,2,3,2,1,2,2,9,2,0,26,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,Yes,No,No,Yes,Yes,Yes,No,No,1,0,0,1,1,1,0,0,4,The scientific method can be used to produce any conclusion the researcher wants,0,Once a week,Once a week,Once a week,Several days a week,1,1,1,3,6,Somewhat concerned,Very concerned,No,Oppose,Increased a lot,Stay out of this matter,"A factory owned by an American company that employed 1,000 workers",Live in a non-democracy where government action often aligns with your views,Agree,Some of the time,2,3,0,0,4,1,1,1,3,1,Yes,1,Other,1,0,Moderate,3,Not married but in a relationship,1,No,0,High school graduate,1,"Less than $10,000",0,Always,4,Yes,1,No,0,Good,2,No,No,,,WISCONSIN,Menominee WI,Midwest,East North Central,793,11,782,17406,1,Qual73538399-0108Vaccination,194,9979290,60233906-0ca4-9133-d2d8-b5c969a85820,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,Black,1227,,,,2,,,,,,,,6,,,,,2,6,0,0,0,1,0,0,0,0,1,2,1,1,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,2,1,Menominee WI,17,WISCONSIN,1,194
496,6,T1 Lindsay,Yes,25-34,1,Male,,0,White,,White,Independent/no preference,,,Closer to Democratic Party,Other,Democrat,2,Very interested,3,Always,4,Not too much,A fair amount,No confidence at all,Not too much,Not too much,A fair amount,Not too much,A fair amount,Not too much,No confidence at all,A fair amount,Not too much,A fair amount,1,2,0,1,1,2,1,2,1,0,2,1,2,0,5,6,2,16,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Most of the time,3,Yes,No,Yes,No,Yes,No,Yes,No,1,0,1,0,1,0,1,0,4,The scientific method generally produces accurate conclusions,1,Several days a week,Once a week,Every few weeks/once a month,Every few weeks/once a month,3,1,2,2,8,Very concerned,Very concerned,No,Favor,Increased a lot,Encourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly agree,Most of the time,3,3,0,1,4,2,1,0,4,2,Yes,1,Joseph R. Biden,0,0,Mostly liberal,1,Single,0,No,0,4-year college degree,4,"$20,000 to under $30,000",2,Most of the time,3,Yes,1,No,0,Fair,1,Yes,Yes,The only way I could ,The only way I could ,WISCONSIN,Waukesha WI,Midwest,East North Central,43699,501,43198,10811,1,Qual73538399-0108Vaccination,248,9979290,60233906-2ada-7119-7377-08b002dd40b0,anonymous,73531461,,,,,1,,T1 Lindsay,Demo Endorse,White,1227,,2,,,,,,,,6,,,,,,,2,6,0,1,0,0,0,0,0,0,0,1,1,4,2,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,6,4,0,Waukesha WI,11,WISCONSIN,1,248
497,0,T1 Lindsay,Yes,18-24,0,Male,,0,White,,White,Republican Party,,Strong,,Republican,Republican,6,Very interested,3,Most of the time,3,A fair amount,Not too much,A great deal,Not too much,A great deal,A fair amount,Not too much,Not too much,No confidence at all,A fair amount,A fair amount,No confidence at all,A fair amount,2,1,3,1,3,2,1,1,0,2,2,0,2,2,5,4,2,20,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Most of the time,3,Yes,No,No,Yes,No,Yes,No,No,1,0,0,1,0,1,0,0,3,The scientific method generally produces accurate conclusions,1,Every few weeks/once a month,Several days a week,Every few weeks/once a month,Once a week,2,3,2,1,8,Somewhat concerned,Not at all concerned,Yes,Favor,Left the same as it is now,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Strongly agree,Some of the time,2,0,1,1,2,0,1,0,4,1,No,0,,,,Very conservative,6,Single,0,Yes,1,Some college,2,"$150,000 or more",8,Never,0,No,0,No,0,Excellent,4,Yes,Yes,Christianity,Christianity,TEXAS,Rockwall TX,South,West South Central,9956,111,9845,9490,1,Qual73538399-0108Vaccination,880,9979290,6023360e-cdc1-69fc-4ef8-6ff38955cb59,anonymous,73531461,,,,,1,,T1 Lindsay,Demo Endorse,White,1227,,0,,,,,,,,0,,,,,,,1,0,0,1,0,0,0,0,0,0,0,4,0,2,8,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,5,3,0,Rockwall TX,9,TEXAS,1,880
498,0,T1 Lindsay,Yes,25-34,1,Male,,0,African American,,Black,Other party,,,Neither,Other,Neither,3,Not at all interested,0,Always,4,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,Not too much,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,13,0,13,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Some of the time,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,8,The scientific method generally produces accurate conclusions,1,Never,Never,Never,Never,0,0,0,0,0,Somewhat concerned,Somewhat concerned,No,Oppose,Increased a little,Stay out of this matter,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Neither agree nor disagree,Some of the time,2,2,0,0,3,1,1,0,2,1,No,0,,,,Somewhat liberal,2,Single,0,Yes,1,High school graduate,1,"Less than $10,000",0,Never,0,No,0,Yes,1,Good,2,Yes,Yes,nothing,nothing,GEORGIA,Tift GA,South,South Atlantic,4557,112,4445,11212,2,Qual73538399-0108Vaccination,379,9979290,60233867-eaa4-4ce6-4543-7820e9ab25b0,anonymous,73531461,,,,,1,,T1 Lindsay,Demo Endorse,Black,1227,,0,,,,,,,,0,,,,,,,,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,4,0,Tift GA,11,GEORGIA,0,379
499,6,T1 Lindsay,Yes,35-50,2,Male,,0,African American,,Black,Republican Party,,Strong,,Republican,Republican,6,Not at all interested,0,Never,0,A great deal,A fair amount,A great deal,A great deal,Not too much,Not too much,A great deal,A great deal,A fair amount,A great deal,A great deal,A great deal,A great deal,3,2,3,3,1,1,3,3,2,3,3,3,3,9,2,2,0,33,There’s not much ordinary citizens can do to influence the government,0,Most of the time,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1,1,0,0,1,1,1,1,6,The scientific method generally produces accurate conclusions,1,Every day,Every day,Several days a week,Once a week,4,4,3,1,12,Very concerned,Not at all concerned,No,Favor,Increased a lot,Discourage,"A factory owned by a Chinese company that employed 2,000 workers",Live in a non-democracy where government action often aligns with your views,Neither agree nor disagree,Most of the time,3,0,0,1,4,0,0,1,2,2,Yes,1,Joseph R. Biden,0,0,Somewhat liberal,2,Not married but in a relationship,1,Yes,1,2-year college degree,3,"$50,000 to under $75,000",5,Occassionally,1,Yes,1,Yes,1,Very good,3,Yes,Yes,chineds,chineds,MARYLAND,Baltimore City MD,South,South Atlantic,38909,843,38066,6556,2,Qual73538399-0108Vaccination,204,9979290,6023391d-0b0a-84e8-e733-c078cab0536a,anonymous,73531461,,,,,1,,T1 Lindsay,Demo Endorse,Black,1227,,2,,,,,,,,6,,,,,,,1,6,0,1,0,0,0,0,0,0,0,3,1,3,5,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,0,0,Baltimore City MD,7,MARYLAND,0,204
500,6,T3 Biden,Yes,25-34,1,Female,,1,White,,White,Republican Party,,Strong,,Republican,Republican,6,Very interested,3,About half the time,2,No confidence at all,No confidence at all,A great deal,A fair amount,No confidence at all,A fair amount,A fair amount,No confidence at all,No confidence at all,A fair amount,Not too much,A fair amount,A fair amount,0,0,3,2,0,2,2,0,0,2,1,2,2,1,6,1,5,16,Ordinary citizens can do a lot to influence the government if they are willing to make the effort,1,Half of the time,2,No,No,No,No,No,No,No,No,0,0,0,0,0,0,0,0,0,The scientific method generally produces accurate conclusions,1,Once a week,Every day,Every few weeks/once a month,Several days a week,1,4,2,3,10,Somewhat concerned,Somewhat concerned,Yes,Favor,Decreased a little,Discourage,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,None of the time,2,2,1,1,1,0,1,0,3,0,Yes,1,Donald J. Trump,3,1,Moderate,3,Married,2,Yes,1,4-year college degree,4,"$75,000 to under $100,000",6,Some of the time,2,Yes,1,No,0,Very good,3,No,No,,,MASSACHUSETTS,Hampshire MA,Northeast,New England,6362,241,6121,3956,4,Qual73538399-0108Vaccination,1728,9979290,60233397-008b-a8b7-69a2-c57cd0fea9bb,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,White,1227,,,,2,,,,,,,,6,,,,,1,6,0,0,0,1,0,0,0,0,1,3,1,4,6,2,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,5,2,1,Hampshire MA,4,MASSACHUSETTS,1,1728
501,6,T4 Trump,Yes,25-34,1,Male,,0,White,,White,Republican Party,,Not very strong,,Republican,Republican,5,Very interested,3,Most of the time,3,A fair amount,No confidence at all,A great deal,A fair amount,A great deal,A great deal,No confidence at all,No confidence at all,A fair amount,A great deal,Not too much,No confidence at all,Not too much,2,0,3,2,3,3,0,0,2,3,1,0,1,4,3,2,4,20,There’s not much ordinary citizens can do to influence the government,0,Half of the time,2,Yes,Yes,No,No,Yes,No,Yes,No,1,1,0,0,1,0,1,0,4,The scientific method generally produces accurate conclusions,1,Once a week,Every day,Never,Once a week,1,4,0,1,6,Somewhat concerned,Not too concerned,No,Oppose,Left the same as it is now,Stay out of this matter,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Disagree,Most of the time,2,1,0,0,2,1,1,0,1,2,Yes,1,Donald J. Trump,3,1,Somewhat conservative,4,Not married but in a relationship,1,No,0,4-year college degree,4,"$100,000 to under $150,000",7,Occassionally,1,Yes,1,No,0,Very good,3,Yes,Yes,Protestant,Protestant,SOUTH CAROLINA,Union SC,South,South Atlantic,2392,65,2327,8757,3,Qual73538399-0108Vaccination,462,9979290,602338a1-eed1-806d-ee37-2258fd034d8b,anonymous,73531461,,,,,1,,T4 Trump,Text Endorse,White,1227,,,,,2,,,,,,,,6,,,,1,6,0,0,0,0,1,0,0,0,0,3,1,4,7,1,1,0,1,4,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,4,3,0,Union SC,9,SOUTH CAROLINA,0,462
502,6,T3 Biden,Yes,35-50,2,Male,,0,White,,White,Independent/no preference,,,Neither,Other,Neither,3,Very interested,3,Most of the time,3,No confidence at all,Not too much,A fair amount,A great deal,A fair amount,A fair amount,Not too much,Not too much,Not too much,No confidence at all,Not too much,A fair amount,No confidence at all,0,1,2,3,2,2,1,1,1,0,1,2,0,1,4,5,3,16,There’s not much ordinary citizens can do to influence the government,0,Half of the time,2,No,Yes,Yes,No,No,Yes,Yes,No,0,1,1,0,0,1,1,0,4,The scientific method generally produces accurate conclusions,1,Never,Every few weeks/once a month,Never,Several days a week,0,2,0,3,5,Somewhat concerned,Somewhat concerned,Yes,Oppose,Increased a little,Stay out of this matter,"A factory owned by an American company that employed 1,000 workers",Live in a democracy where government action sometimes aligns with your views,Agree,Most of the time,2,2,1,0,3,1,1,0,3,2,Yes,1,Joseph R. Biden,0,0,Moderate,3,Married,2,No,0,High school graduate,1,"$50,000 to under $75,000",5,Some of the time,2,Yes,1,Yes,1,Very good,3,No,No,,,MICHIGAN,Clinton MI,Midwest,East North Central,4872,68,4804,6121,1,Qual73538399-0108Vaccination,223,9979290,602339e4-360b-9303-13e1-f4bbde37eef3,anonymous,73531461,,,,,1,,T3 Biden,Text Endorse,White,1227,,,,2,,,,,,,,6,,,,,2,6,0,0,0,1,0,0,0,0,0,3,1,1,5,2,2,0,1,3,1,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,4,3,0,Clinton MI,6,MICHIGAN,1,223
